Date,Variable,Canada,United States,
1985,nuclear_electricity,60.52,403.89,0.052978554
1986,nuclear_electricity,71.27,435.83,0.057848506
1987,nuclear_electricity,77.26,479.23,0.063482774
1988,nuclear_electricity,82.87,554.71,0.072733288
1989,nuclear_electricity,79.32,557.22,0.072614648
1990,nuclear_electricity,72.46,607.22,0.077535934
1991,nuclear_electricity,84.34,644.81,0.083179329
1992,nuclear_electricity,80.02,651.34,0.08343144
1993,nuclear_electricity,93.28,642.41,0.083925394
1994,nuclear_electricity,107.08,674.15,0.089120465
1995,nuclear_electricity,97.16,708.84,0.091946156
1996,nuclear_electricity,92.12,710.24,0.091530915
1997,nuclear_electricity,81.96,661.73,0.08483801
1998,nuclear_electricity,70.99,709.16,0.088997262
1999,nuclear_electricity,72.98,766.58,0.095774584
2000,nuclear_electricity,69.16,753.89,0.09389117
2001,nuclear_electricity,72.86,768.83,0.096017568
2002,nuclear_electricity,71.75,780.06,0.097172028
2003,nuclear_electricity,71.15,763.73,0.095240703
2004,nuclear_electricity,85.87,788.53,0.09974903
2005,nuclear_electricity,86.83,781.99,0.09911248
2006,nuclear_electricity,92.44,787.22,0.100349076
2007,nuclear_electricity,88.19,806.42,0.102054529
2008,nuclear_electricity,88.3,806.21,0.102043121
2009,nuclear_electricity,85.13,798.85,0.100841889
2010,nuclear_electricity,85.53,806.97,0.101813826
2011,nuclear_electricity,88.29,790.2,0.100215606
2012,nuclear_electricity,89.49,769.33,0.097971709
2013,nuclear_electricity,97.58,789.02,0.101140771
2014,nuclear_electricity,101.21,797.17,0.1024846
2015,nuclear_electricity,96.05,797.18,0.101897102
2016,nuclear_electricity,95.69,805.69,0.102826831
2017,nuclear_electricity,95.57,804.95,0.102728725
2018,nuclear_electricity,95.03,807.08,0.102910107
2019,nuclear_electricity,95.47,809.41,0.103226101
2020,nuclear_electricity,92.65,789.88,0.100676477
2021,nuclear_electricity,87.36,779.65,0.098906
2022,nuclear_electricity,82.28,771.54,0.097401323
2023,nuclear_electricity,82.29075366,764.1613869,0.096560819
2024,nuclear_electricity,88.93183686,855.7822016,0.107770253
2025,nuclear_electricity,95.57292006,947.520139,0.118993048
2026,nuclear_electricity,102.2140033,1039.992112,0.13029958
2027,nuclear_electricity,108.8550865,1132.180351,0.141573744
2028,nuclear_electricity,115.4961697,1224.092786,0.152816445
2029,nuclear_electricity,122.1372528,1316.230409,0.164084835
2030,nuclear_electricity,128.778336,1408.435185,0.175360885
2031,nuclear_electricity,135.4194192,1471.925926,0.183361322
2032,nuclear_electricity,142.0605024,1535.416667,0.191361758
2033,nuclear_electricity,148.7015856,1598.907407,0.199362194
2034,nuclear_electricity,155.3426688,1662.398148,0.20736263
2035,nuclear_electricity,161.983752,1725.888889,0.215363067
2036,nuclear_electricity,168.6248352,1765.22963,0.22060854
2037,nuclear_electricity,175.2659184,1804.57037,0.225854014
2038,nuclear_electricity,181.9070016,1843.911111,0.231099488
2039,nuclear_electricity,188.5480848,1883.251852,0.236344962
2040,nuclear_electricity,195.189168,1922.592593,0.241590436
2041,nuclear_electricity,201.8302512,1961.933333,0.24683591
2042,nuclear_electricity,208.4713344,2001.274074,0.252081384
2043,nuclear_electricity,215.1124176,2040.614815,0.257326857
2044,nuclear_electricity,221.7535008,2079.955556,0.262572331
2045,nuclear_electricity,228.394584,2119.296296,0.267817805
2046,nuclear_electricity,235.0356672,2158.637037,0.273063279
2047,nuclear_electricity,241.6767504,2197.977778,0.278308753
2048,nuclear_electricity,248.3178336,2237.318519,0.283554227
2049,nuclear_electricity,254.9589168,2276.659259,0.288799701
2050,nuclear_electricity,261.6,2316,0.294045175
2051,nuclear_electricity,268.2410832,2355.340741,0.299290648
2052,nuclear_electricity,274.8821664,2394.681481,0.304536122
2053,nuclear_electricity,281.5232496,2434.022222,0.309781596
2054,nuclear_electricity,288.1643328,2473.362963,0.31502707
2055,nuclear_electricity,294.805416,2512.703704,0.320272544
2056,nuclear_electricity,301.4464992,2552.044444,0.325518018
2057,nuclear_electricity,308.0875824,2591.385185,0.330763492
2058,nuclear_electricity,314.7286656,2630.725926,0.336008966
2059,nuclear_electricity,321.3697488,2670.066667,0.341254439
2060,nuclear_electricity,328.010832,2709.407407,0.346499913
2061,nuclear_electricity,334.6519152,2748.748148,0.351745387
2062,nuclear_electricity,341.2929984,2788.088889,0.356990861
2063,nuclear_electricity,347.9340816,2827.42963,0.362236335
2064,nuclear_electricity,354.5751648,2866.77037,0.367481809
2065,nuclear_electricity,361.216248,2906.111111,0.372727283
2066,nuclear_electricity,367.8573312,2945.451852,0.377972756
2067,nuclear_electricity,374.4984144,2984.792593,0.38321823
2068,nuclear_electricity,381.1394976,3024.133333,0.388463704
2069,nuclear_electricity,387.7805808,3063.474074,0.393709178
2070,nuclear_electricity,394.421664,3102.814815,0.398954652
2071,nuclear_electricity,401.0627472,3142.155556,0.404200126
2072,nuclear_electricity,407.7038303,3181.496296,0.4094456
2073,nuclear_electricity,414.3449135,3220.837037,0.414691074
2074,nuclear_electricity,420.9859967,3260.177778,0.419936547
2075,nuclear_electricity,427.6270799,3299.518519,0.425182021
2076,nuclear_electricity,434.2681631,3338.859259,0.430427495
2077,nuclear_electricity,440.9092463,3378.2,0.435672969
2078,nuclear_electricity,447.5503295,3417.540741,0.440918443
2079,nuclear_electricity,454.1914127,3456.881481,0.446163917
2080,nuclear_electricity,460.8324959,3496.222222,0.451409391
2081,nuclear_electricity,467.4735791,3535.562963,0.456654864
2082,nuclear_electricity,474.1146623,3574.903704,0.461900338
2083,nuclear_electricity,480.7557455,3614.244444,0.467145812
2084,nuclear_electricity,487.3968287,3653.585185,0.472391286
2085,nuclear_electricity,494.0379119,3692.925926,0.47763676
2086,nuclear_electricity,500.6789951,3732.266667,0.482882234
2087,nuclear_electricity,507.3200783,3771.607407,0.488127708
2088,nuclear_electricity,513.9611615,3810.948148,0.493373182
2089,nuclear_electricity,520.6022447,3850.288889,0.498618655
2090,nuclear_electricity,527.2433279,3889.62963,0.503864129
2091,nuclear_electricity,533.8844111,3928.97037,0.509109603
2092,nuclear_electricity,540.5254943,3968.311111,0.514355077
2093,nuclear_electricity,547.1665775,4007.651852,0.519600551
2094,nuclear_electricity,553.8076607,4046.992593,0.524846025
2095,nuclear_electricity,560.4487439,4086.333333,0.530091499
2096,nuclear_electricity,567.0898271,4125.674074,0.535336973
2097,nuclear_electricity,573.7309103,4165.014815,0.540582446
2098,nuclear_electricity,580.3719935,4204.355556,0.54582792
2099,nuclear_electricity,587.0130767,4243.696296,0.551073394
2100,nuclear_electricity,593.6541599,4283.037037,0.556318868
