Date,Variable,Finland,France,Netherlands,Slovenia,Sweden,United Kingdom,
1985,nuclear_electricity,18.93,224.1,3.9,,58.56,61.1,0.04181953
1986,nuclear_electricity,18.95,254.16,4.22,,69.95,59.08,0.046356377
1987,nuclear_electricity,19.51,265.52,3.56,,67.39,55.24,0.046910792
1988,nuclear_electricity,19.42,275.52,3.68,,69.42,63.46,0.049224276
1989,nuclear_electricity,18.96,303.93,4.02,,65.6,71.73,0.05295916
1990,nuclear_electricity,19.22,314.08,3.5,4.62,68.18,65.75,0.054226557
1991,nuclear_electricity,19.51,331.34,3.33,4.95,76.76,70.54,0.057772074
1992,nuclear_electricity,19.26,338.45,3.8,3.97,63.54,76.81,0.057703628
1993,nuclear_electricity,19.93,368.19,3.95,3.96,61.4,89.35,0.062375086
1994,nuclear_electricity,19.43,359.98,3.97,4.61,73.16,88.28,0.06267739
1995,nuclear_electricity,19.22,377.23,4.02,4.78,69.93,88.96,0.064355464
1996,nuclear_electricity,19.48,397.34,4.16,4.65,74.27,94.67,0.067826831
1997,nuclear_electricity,20.89,395.48,2.41,5.02,69.93,98.15,0.067519963
1998,nuclear_electricity,21.85,387.99,3.81,5.04,73.58,99.49,0.067506274
1999,nuclear_electricity,22.97,394.24,3.83,4.7,73.19,95.13,0.067768652
2000,nuclear_electricity,22.48,415.16,3.93,4.76,57.32,85.06,0.067158339
2001,nuclear_electricity,22.77,421.08,3.98,5.26,72.11,90.09,0.070190509
2002,nuclear_electricity,22.3,436.76,3.91,5.53,68.11,87.85,0.071236596
2003,nuclear_electricity,22.73,441.07,4.02,5.21,67.42,88.69,0.071770477
2004,nuclear_electricity,22.72,448.24,3.82,5.46,77.49,80,0.072750399
2005,nuclear_electricity,23.27,451.53,4,5.88,72.38,81.62,0.072858773
2006,nuclear_electricity,22.91,450.19,3.47,5.55,66.98,75.45,0.071246863
2007,nuclear_electricity,23.42,439.73,4.2,5.7,66.97,63.03,0.068794205
2008,nuclear_electricity,22.96,439.45,4.17,6.27,63.89,52.49,0.067217659
2009,nuclear_electricity,23.53,409.74,4.25,5.74,52.17,69.1,0.064399954
2010,nuclear_electricity,22.8,428.52,3.97,5.66,57.83,62.14,0.066269678
2011,nuclear_electricity,23.19,442.39,4.14,6.22,60.47,68.98,0.069061145
2012,nuclear_electricity,22.99,425.41,3.91,5.53,64.04,70.41,0.067566735
2013,nuclear_electricity,23.61,423.68,2.89,5.3,66.46,70.61,0.067596395
2014,nuclear_electricity,23.58,436.48,4.09,6.37,64.88,63.75,0.068349304
2015,nuclear_electricity,23.25,437.43,4.08,5.65,56.35,70.34,0.068115446
2016,nuclear_electricity,23.2,403.2,3.96,5.72,63.1,71.73,0.065127766
2017,nuclear_electricity,22.48,398.36,3.4,6.29,65.7,70.34,0.064632672
2018,nuclear_electricity,22.79,412.94,3.51,5.78,68.55,65.06,0.066008442
2019,nuclear_electricity,23.87,399.01,3.91,5.82,66.13,56.18,0.063303673
2020,nuclear_electricity,23.29,353.83,4.09,6.35,49.2,50.28,0.055560119
2021,nuclear_electricity,23.6,379.36,3.83,5.71,52.97,45.9,0.058335615
2022,nuclear_electricity,25.09,297.88,4.14,5.59,51.4,47.72,0.04926078
2023,nuclear_electricity,25.11893278,301.9969451,3.837626703,6.26366401,53.49873045,45.67658701,0.049782396
2024,nuclear_electricity,26.99971305,330.8118731,4.162159047,6.653898676,57.28396266,49.28486157,0.054209043
2025,nuclear_electricity,28.88049332,359.626801,4.486691392,7.044133342,61.06919486,52.89313612,0.058635689
2026,nuclear_electricity,30.76127358,388.441729,4.811223736,7.434368008,64.85442707,56.50141068,0.063062335
2027,nuclear_electricity,32.64205385,417.2566569,5.13575608,7.824602675,68.63965927,60.10968523,0.067488982
2028,nuclear_electricity,34.52283412,446.0715849,5.460288425,8.214837341,72.42489148,63.71795979,0.071915628
2029,nuclear_electricity,36.40361439,474.8865129,5.784820769,8.605072007,76.21012369,67.32623434,0.076342274
2030,nuclear_electricity,38.28439465,503.7014408,6.109353113,8.995306674,79.99535589,70.9345089,0.080768921
2031,nuclear_electricity,40.16517492,532.5163688,6.433885458,9.38554134,83.7805881,74.54278345,0.085195567
2032,nuclear_electricity,42.04595519,561.3312967,6.758417802,9.775776006,87.5658203,78.15105801,0.089622214
2033,nuclear_electricity,43.92673545,590.1462247,7.082950146,10.16601067,91.35105251,81.75933256,0.09404886
2034,nuclear_electricity,45.80751572,618.9611527,7.407482491,10.55624534,95.13628471,85.36760712,0.098475506
2035,nuclear_electricity,47.68829599,647.7760806,7.732014835,10.94648001,98.92151692,88.97588167,0.102902153
2036,nuclear_electricity,49.56907626,676.5910086,8.056547179,11.33671467,102.7067491,92.58415623,0.107328799
2037,nuclear_electricity,51.44985652,705.4059365,8.381079524,11.72694934,106.4919813,96.19243078,0.111755445
2038,nuclear_electricity,53.33063679,734.2208645,8.705611868,12.117184,110.2772135,99.80070534,0.116182092
2039,nuclear_electricity,55.21141706,763.0357925,9.030144212,12.50741867,114.0624457,103.4089799,0.120608738
2040,nuclear_electricity,57.09219733,791.8507204,9.354676557,12.89765334,117.8476779,107.0172544,0.125035384
2041,nuclear_electricity,58.97297759,820.6656484,9.679208901,13.287888,121.6329102,110.625529,0.129462031
2042,nuclear_electricity,60.85375786,849.4805763,10.00374125,13.67812267,125.4181424,114.2338036,0.133888677
2043,nuclear_electricity,62.73453813,878.2955043,10.32827359,14.06835734,129.2033746,117.8420781,0.138315324
2044,nuclear_electricity,64.6153184,907.1104322,10.65280593,14.458592,132.9886068,121.4503527,0.14274197
2045,nuclear_electricity,66.49609866,935.9253602,10.97733828,14.84882667,136.773839,125.0586272,0.147168616
2046,nuclear_electricity,68.37687893,964.7402882,11.30187062,15.23906133,140.5590712,128.6669018,0.151595263
2047,nuclear_electricity,70.2576592,993.5552161,11.62640297,15.629296,144.3443034,132.2751763,0.156021909
2048,nuclear_electricity,72.13843947,1022.370144,11.95093531,16.01953067,148.1295356,135.8834509,0.160448555
2049,nuclear_electricity,74.01921973,1051.185072,12.27546766,16.40976533,151.9147678,139.4917254,0.164875202
2050,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2051,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2052,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2053,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2054,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2055,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2056,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2057,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2058,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2059,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2060,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2061,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2062,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2063,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2064,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2065,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2066,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2067,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2068,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2069,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2070,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2071,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2072,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2073,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2074,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2075,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2076,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2077,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2078,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2079,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2080,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2081,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2082,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2083,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2084,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2085,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2086,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2087,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2088,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2089,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2090,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2091,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2092,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2093,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2094,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2095,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2096,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2097,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2098,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2099,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
2100,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,0.169301848
